sentence_id	text_a	text_b	pair_label	tagging_label	text_label
200505205512100035_2_5x1	也 由 于 他 父 亲 常 常 会 带 他 去 和 三 五 朋 友 下 棋 ， 因 此 他 对 于 下 棋 有 着 浓 厚 的 感 性 ， 不 论 是 中 国 象 棋 或 是 西 洋 棋 ， 也 因 为 他 的 热 爱 而 每 天 不 断 去 接 触 ， 最 后 他 曾 代 替 我 们 学 校 去 和 其 他 友 校 进 行 切 磋 、 比 赛 ， 并 取 得 了 不 错 的 成 绩 。	NONE	NONE	C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C C C C C C C C C C C	也 由 于 他 父 亲 常 常 会 带 他 去 和 三 五 好 友 下 棋 ， 因 此 他 对 于 下 棋 有 着 浓 厚 的 兴 趣 ， 不 论 是 中 国 象 棋 或 是 西 洋 棋 ， 也 因 为 他 的 热 爱 而 每 天 不 断 去 接 触 ， 最 后 他 曾 代 表 我 们 学 校 去 和 其 他 友 校 进 行 切 磋 、 比 赛 ， 并 取 得 了 不 错 的 成 绩 。
200505522522110024_2_5x1	比 如 说 是 生 活 方 式 不 同 ， 吃 的 东 西 都 会 有 区 别 。	NONE	NONE	C C C R C C C C C C C C C C C C C C C C C	比 如 说 生 活 方 式 不 同 ， 吃 的 东 西 都 会 有 区 别 。
200307109523200372_2_4x2	关 键 是 不 是 用 不 用 化 肥 的 问 题 , 而 是 生 产 集 中 ， 分 得 不 公 的 问 题 。 有 些 发 达 国 家 农 业 产 量 过 多 必 要 出 口 ， 可 是 有 些 国 家 农 业 产 量 一 直 不 够 ， 饥 饿 。	NONE	NONE	C C R C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C C C C C C C C C C C C C S S C	关 键 不 是 用 不 用 化 肥 的 问 题 , 而 是 生 产 集 中 ， 分 得 不 公 的 问 题 。 有 些 发 达 国 家 农 业 产 量 过 多 必 须 出 口 ， 可 是 有 些 国 家 农 业 产 量 一 直 不 够 ， 人 民 挨 饿 。
200209550523150242_2_1x1	首 先 ， 我 们 韩 国 人 的 看 法 就 是 古 代 孔 子 思 想 传 来 的 “ 长 幼 有 序 ” 来 解 决 才 好 ， 比 如 在 韩 国 让 老 人 理 解 年 青 人 这 可 提 出 很 多 问 题 ， 所 以 在 韩 国 年 青 人 理 解 老 人 是 有 理 有 条 的 。	NONE	NONE	C C C C C C C C C C C C C M C C C C C R R R C C C C C C C C C C C C C C C C C C C C C C C C C R S S S C C C C C C C C C C C C C C C C C C S S S S C C	首 先 ， 我 们 韩 国 人 的 看 法 就 是 用 古 代 孔 子 思 想 “ 长 幼 有 序 ” 来 解 决 才 好 ， 比 如 在 韩 国 让 老 人 理 解 年 青 人 会 产 生 很 多 问 题 ， 所 以 在 韩 国 年 青 人 理 解 老 人 是 理 所 当 然 的 。
200209550523250981_2_1x1	我 和 妈 妈 是 不 像 别 的 母 女 。	NONE	NONE	C C C C R C C C C C C C	我 和 妈 妈 不 像 别 的 母 女 。
200310540540250023_2_1x3	最 有 效 的 阅 读 当 然 是 阅 读 之 前 采 选 对 于 本 身 最 有 用 的 书 籍 。 要 仔 细 考 虑 将 阅 读 的 书 籍 是 否 对 于 本 身 有 益 。 然 后 再 认 真 阅 读 以 及 细 细 的 印 入 脑 海 中 ， 当 知 识 宝 藏 。	NONE	NONE	C C C C C C C C C C C C C C C C R S S C C C C C C C C C C C C C C C C C C C C C R S S C C C C C C C C C C S S S S C C C C C C C S C C C C C	最 有 效 的 阅 读 当 然 是 阅 读 之 前 采 选 对 自 己 最 有 用 的 书 籍 。 要 仔 细 考 虑 将 阅 读 的 书 籍 是 否 对 自 己 有 益 。 然 后 再 认 真 阅 读 并 慢 慢 的 印 入 脑 海 中 ， 当 作 知 识 宝 藏 。
200410534519150074_2_1x1	无 疑 的 ， 人 生 知 己 难 求 ， 如 能 在 小 时 有 所 发 现 ， 长 大 后 又 懂 得 珍 惜 ， 这 必 将 让 男 女 的 相 识 与 结 合 更 为 完 善 ， 日 后 婚 姻 也 美 满 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C S S C C C C C C M C C	无 疑 的 ， 人 生 知 己 难 求 ， 如 能 在 小 时 有 所 发 现 ， 长 大 后 又 懂 得 珍 惜 ， 这 必 将 让 男 女 的 相 识 与 结 合 更 为 完 美 ， 日 后 婚 姻 也 更 美 满 。
200307109523200357_2_4x1	他 们 也 都 是 没 有 使 用 化 肥 和 农 药 但 是 也 有 很 多 的 粮 食 生 产 出 来 , 这 里 就 有 原 因 。	NONE	NONE	C C C C R C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C	他 们 也 都 没 有 使 用 化 肥 和 农 药 但 是 也 有 很 多 的 粮 食 生 产 出 来 , 这 里 就 有 原 因 。
200209550523150038_2_3x1	比 如 说 ， 在 家 里 父 母 和 子 女 之 间 的 生 活 中 经 常 发 生 了 这 个 问 题 ： 父 母 要 他 们 的 孩 子 早 点 回 家 。	NONE	NONE	C C C C C C C C C C C C R R C C C C C C C C R C C C C C C C C C C C C C C C C C C	比 如 说 ， 在 家 里 父 母 和 子 女 的 生 活 中 经 常 发 生 这 个 问 题 ： 父 母 要 他 们 的 孩 子 早 点 回 家 。
200210540540250019_2_1x1	我 们 家 是 一 个 开 明 的 家 ， 刚 巧 我 们 一 家 九 口 人 都 有 机 会 读 书 “ 知 书 识 礼 ” 的 “ 书 香 之 家 ” 。	NONE	NONE	C C C C C C C C C C C C C C C C C C C C C C C C C C M C C C C C C C C C C C C C	我 们 家 是 一 个 开 明 的 家 ， 刚 巧 我 们 一 家 九 口 人 都 有 机 会 读 书 ， 我 们 家 是 个 “ 知 书 识 礼 ” 的 “ 书 香 之 家 ” 。
